"","Area","Element","Item","Value"
"623","C.W. OF IND. STATES","Production","Paper",12810
"624","C.W. OF IND. STATES","Import Quantity","Paper",26332
"625","C.W. OF IND. STATES","Export Quantity","Paper",9000
"626","C.W. OF IND. STATES","Production","Case materials",5000
"627","C.W. OF IND. STATES","Import Quantity","Case materials",14000
"628","C.W. OF IND. STATES","Export Quantity","Case materials",9000
"629","C.W. OF IND. STATES","Production","Cartonboard",7800
"630","C.W. OF IND. STATES","Import Quantity","Cartonboard",8000
"632","C.W. OF IND. STATES","Production","Paper",10
"633","C.W. OF IND. STATES","Import Quantity","Paper",4000
"636","C.W. OF IND. STATES","Import Quantity","Paper",332
"639","C.W. OF IND. STATES","Import Quantity","Paper",568
"641","LATIN AMER. & CARIB","Production","Wood fuel",33744
"642","LATIN AMER. & CARIB","Import Quantity","Wood fuel",113
"643","LATIN AMER. & CARIB","Export Quantity","Wood fuel",25
"644","LATIN AMER. & CARIB","Import Quantity","Roundwood",17169
"645","LATIN AMER. & CARIB","Export Quantity","Roundwood",181
"646","LATIN AMER. & CARIB","Import Quantity","Roundwood",2
"647","LATIN AMER. & CARIB","Export Quantity","Roundwood",72
"648","LATIN AMER. & CARIB","Import Quantity","Roundwood",7414
"649","LATIN AMER. & CARIB","Export Quantity","Roundwood",392
"650","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",15000
"651","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",2000
"652","LATIN AMER. & CARIB","Production","Wood fuel",1131
"653","LATIN AMER. & CARIB","Import Quantity","Wood fuel",22
"654","LATIN AMER. & CARIB","Export Quantity","Wood fuel",21
"655","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",666
"656","LATIN AMER. & CARIB","Import Quantity","Wood residues",94
"657","LATIN AMER. & CARIB","Production","Sawnwood",1400
"658","LATIN AMER. & CARIB","Import Quantity","Sawnwood",3519
"659","LATIN AMER. & CARIB","Export Quantity","Sawnwood",1583
"660","LATIN AMER. & CARIB","Import Quantity","Sawnwood",960
"661","LATIN AMER. & CARIB","Export Quantity","Sawnwood",5
"662","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",85
"663","LATIN AMER. & CARIB","Import Quantity","Plywood",12318
"664","LATIN AMER. & CARIB","Export Quantity","Plywood",431
"665","LATIN AMER. & CARIB","Import Quantity","Particle board",3600
"666","LATIN AMER. & CARIB","Export Quantity","Particle board",4
"667","LATIN AMER. & CARIB","Import Quantity","OSB",73
"668","LATIN AMER. & CARIB","Import Quantity","Hardboard",4
"669","LATIN AMER. & CARIB","Export Quantity","Hardboard",1
"670","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",439
"671","LATIN AMER. & CARIB","Export Quantity","MDF/HDF",49
"672","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",19
"673","LATIN AMER. & CARIB","Export Quantity","Other fibreboard",11
"674","LATIN AMER. & CARIB","Import Quantity","Wood pulp",1
"675","LATIN AMER. & CARIB","Import Quantity","Wood pulp",15
"676","LATIN AMER. & CARIB","Import Quantity","Wood pulp",12
"677","LATIN AMER. & CARIB","Export Quantity","Wood pulp",199
"678","LATIN AMER. & CARIB","Import Quantity","Wood pulp",2
"679","LATIN AMER. & CARIB","Import Quantity","Wood pulp",8
"680","LATIN AMER. & CARIB","Export Quantity","Wood pulp",199
"681","LATIN AMER. & CARIB","Import Quantity","Wood pulp",2
"682","LATIN AMER. & CARIB","Import Quantity","Wood pulp",2
"683","LATIN AMER. & CARIB","Import Quantity","Pulp from fibres other than wood",12
"684","LATIN AMER. & CARIB","Import Quantity","Paper",398
"685","LATIN AMER. & CARIB","Export Quantity","Paper",1717
"686","LATIN AMER. & CARIB","Import Quantity","Newsprint",1561
"688","LATIN AMER. & CARIB","Import Quantity","Paper",1615
"689","LATIN AMER. & CARIB","Export Quantity","Paper",456
"690","LATIN AMER. & CARIB","Import Quantity","Paper",67
"691","LATIN AMER. & CARIB","Export Quantity","Paper",50
"692","LATIN AMER. & CARIB","Import Quantity","Paper",1225
"693","LATIN AMER. & CARIB","Export Quantity","Paper",6
"694","LATIN AMER. & CARIB","Import Quantity","Paper",323
"695","LATIN AMER. & CARIB","Export Quantity","Paper",400
"696","LATIN AMER. & CARIB","Import Quantity","Paper",4330
"697","LATIN AMER. & CARIB","Export Quantity","Paper",462
"698","LATIN AMER. & CARIB","Import Quantity","Paper",1258
"699","LATIN AMER. & CARIB","Export Quantity","Paper",110
"700","LATIN AMER. & CARIB","Import Quantity","Paper",2350
"701","LATIN AMER. & CARIB","Export Quantity","Paper",100
"702","LATIN AMER. & CARIB","Import Quantity","Case materials",162
"703","LATIN AMER. & CARIB","Export Quantity","Case materials",8
"704","LATIN AMER. & CARIB","Import Quantity","Cartonboard",501
"705","LATIN AMER. & CARIB","Export Quantity","Cartonboard",52
"706","LATIN AMER. & CARIB","Import Quantity","Paper",1626
"707","LATIN AMER. & CARIB","Export Quantity","Paper",1
"708","LATIN AMER. & CARIB","Import Quantity","Paper",61
"709","LATIN AMER. & CARIB","Export Quantity","Paper",39
"710","LATIN AMER. & CARIB","Import Quantity","Paper",722
"711","LATIN AMER. & CARIB","Export Quantity","Paper",252
"713","NEAR EAST","Production","Wood fuel",7107
"714","NEAR EAST","Import Quantity","Wood fuel",620
"715","NEAR EAST","Export Quantity","Wood fuel",3
"716","NEAR EAST","Import Quantity","Roundwood",16441
"717","NEAR EAST","Export Quantity","Roundwood",212
"718","NEAR EAST","Import Quantity","Roundwood",389
"719","NEAR EAST","Export Quantity","Roundwood",3
"720","NEAR EAST","Import Quantity","Roundwood",894
"721","NEAR EAST","Export Quantity","Roundwood",9
"722","NEAR EAST","Production","Wood fuel",1146
"723","NEAR EAST","Import Quantity","Wood fuel",10792
"724","NEAR EAST","Export Quantity","Wood fuel",3361
"725","NEAR EAST","Import Quantity","Wood chips and particles",317
"726","NEAR EAST","Export Quantity","Wood chips and particles",21
"727","NEAR EAST","Import Quantity","Wood residues",960
"728","NEAR EAST","Export Quantity","Wood residues",307
"729","NEAR EAST","Import Quantity","Sawnwood",48463
"730","NEAR EAST","Export Quantity","Sawnwood",132
"731","NEAR EAST","Import Quantity","Sawnwood",41097
"732","NEAR EAST","Export Quantity","Sawnwood",131
"733","NEAR EAST","Import Quantity","Veneer sheets",3107
"734","NEAR EAST","Export Quantity","Veneer sheets",6
"735","NEAR EAST","Import Quantity","Plywood",38690
"736","NEAR EAST","Export Quantity","Plywood",518
"737","NEAR EAST","Import Quantity","Particle board",791
"738","NEAR EAST","Export Quantity","Particle board",23
"739","NEAR EAST","Import Quantity","OSB",72
"740","NEAR EAST","Import Quantity","Hardboard",625
"741","NEAR EAST","Export Quantity","Hardboard",47
"742","NEAR EAST","Import Quantity","MDF/HDF",22197
"743","NEAR EAST","Export Quantity","MDF/HDF",44
"744","NEAR EAST","Import Quantity","Other fibreboard",5169
"745","NEAR EAST","Export Quantity","Other fibreboard",2
"746","NEAR EAST","Import Quantity","Wood pulp",211
"747","NEAR EAST","Export Quantity","Wood pulp",8
"748","NEAR EAST","Import Quantity","Wood pulp",187
"749","NEAR EAST","Import Quantity","Wood pulp",43166
"750","NEAR EAST","Export Quantity","Wood pulp",504
"751","NEAR EAST","Import Quantity","Wood pulp",43099
"752","NEAR EAST","Export Quantity","Wood pulp",504
"753","NEAR EAST","Import Quantity","Wood pulp",65
"754","NEAR EAST","Import Quantity","Wood pulp",2
"755","NEAR EAST","Import Quantity","Wood pulp",2
"756","NEAR EAST","Import Quantity","Pulp from fibres other than wood",15
"757","NEAR EAST","Export Quantity","Pulp from fibres other than wood",55
"758","NEAR EAST","Production","Paper",80000
"759","NEAR EAST","Import Quantity","Paper",74
"760","NEAR EAST","Export Quantity","Paper",58868
"761","NEAR EAST","Import Quantity","Newsprint",2546
"762","NEAR EAST","Export Quantity","Newsprint",1
"763","NEAR EAST","Import Quantity","Paper",18394
"764","NEAR EAST","Export Quantity","Paper",320
"765","NEAR EAST","Import Quantity","Paper",597
"766","NEAR EAST","Export Quantity","Paper",8
"767","NEAR EAST","Import Quantity","Paper",7287
"768","NEAR EAST","Export Quantity","Paper",266
"769","NEAR EAST","Import Quantity","Paper",10510
"770","NEAR EAST","Export Quantity","Paper",46
"771","NEAR EAST","Production","Paper",12000
"772","NEAR EAST","Import Quantity","Paper",27583
"773","NEAR EAST","Export Quantity","Paper",461
"774","NEAR EAST","Production","Paper",12000
"775","NEAR EAST","Import Quantity","Paper",3652
"776","NEAR EAST","Export Quantity","Paper",7
"777","NEAR EAST","Import Quantity","Paper",22618
"778","NEAR EAST","Export Quantity","Paper",447
"779","NEAR EAST","Import Quantity","Case materials",3535
"780","NEAR EAST","Export Quantity","Case materials",3
"781","NEAR EAST","Import Quantity","Cartonboard",13433
"782","NEAR EAST","Export Quantity","Cartonboard",26
"783","NEAR EAST","Import Quantity","Paper",5522
"784","NEAR EAST","Export Quantity","Paper",383
"785","NEAR EAST","Import Quantity","Paper",128
"786","NEAR EAST","Export Quantity","Paper",35
"788","NEAR EAST","Import Quantity","Paper",1313
"789","NEAR EAST","Export Quantity","Paper",7
"791","ASIA (EX. NEAR EAST)","Production","Wood fuel",26255531
"792","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",28
"793","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",48
"794","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",92175
"795","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",8
"796","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",10670
"797","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",19
"798","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",12082
"799","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",3
"800","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",174000
"801","ASIA (EX. NEAR EAST)","Production","Pulpwood",6000
"802","ASIA (EX. NEAR EAST)","Production","Roundwood",90000
"803","ASIA (EX. NEAR EAST)","Production","Wood fuel",337180
"804","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",13
"805","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",7732
"806","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",2
"807","ASIA (EX. NEAR EAST)","Export Quantity","Wood chips and particles",33
"808","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",48
"809","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",319
"810","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",8788
"811","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",1
"812","ASIA (EX. NEAR EAST)","Production","Sawnwood",388000
"813","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",6890
"814","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",27
"815","ASIA (EX. NEAR EAST)","Production","Veneer sheets",1000
"816","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",1445
"817","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",4
"818","ASIA (EX. NEAR EAST)","Production","Plywood",1000
"819","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",6627
"820","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",8
"821","ASIA (EX. NEAR EAST)","Production","Particle board",2200
"822","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",1586
"823","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",1815
"824","ASIA (EX. NEAR EAST)","Import Quantity","OSB",96
"825","ASIA (EX. NEAR EAST)","Production","Hardboard",5100
"826","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",163
"827","ASIA (EX. NEAR EAST)","Export Quantity","Hardboard",30
"828","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",18282
"829","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",10
"830","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",2590
"831","ASIA (EX. NEAR EAST)","Export Quantity","Other fibreboard",82
"832","ASIA (EX. NEAR EAST)","Production","Wood pulp",36000
"833","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",152
"835","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",622
"836","ASIA (EX. NEAR EAST)","Production","Wood pulp",11000
"837","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",508117
"838","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",7
"839","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",231
"840","ASIA (EX. NEAR EAST)","Production","Wood pulp",11000
"841","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",507727
"842","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",7
"843","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",150
"844","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",9
"845","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",527
"846","ASIA (EX. NEAR EAST)","Production","Pulp from fibres other than wood",18000
"847","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",136
"848","ASIA (EX. NEAR EAST)","Export Quantity","Pulp from fibres other than wood",1
"849","ASIA (EX. NEAR EAST)","Import Quantity","Paper",85287
"850","ASIA (EX. NEAR EAST)","Export Quantity","Paper",1
"851","ASIA (EX. NEAR EAST)","Production","Newsprint",20000
"852","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",46142
"853","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",26
"854","ASIA (EX. NEAR EAST)","Production","Paper",30000
"855","ASIA (EX. NEAR EAST)","Import Quantity","Paper",140792
"856","ASIA (EX. NEAR EAST)","Export Quantity","Paper",37
"857","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3781
"858","ASIA (EX. NEAR EAST)","Export Quantity","Paper",29
"859","ASIA (EX. NEAR EAST)","Import Quantity","Paper",18964
"860","ASIA (EX. NEAR EAST)","Export Quantity","Paper",7
"861","ASIA (EX. NEAR EAST)","Import Quantity","Paper",118047
"862","ASIA (EX. NEAR EAST)","Export Quantity","Paper",1
"863","ASIA (EX. NEAR EAST)","Production","Paper",8000
"864","ASIA (EX. NEAR EAST)","Import Quantity","Paper",467072
"865","ASIA (EX. NEAR EAST)","Export Quantity","Paper",953
"866","ASIA (EX. NEAR EAST)","Import Quantity","Paper",1450
"867","ASIA (EX. NEAR EAST)","Export Quantity","Paper",784
"868","ASIA (EX. NEAR EAST)","Production","Paper",8000
"869","ASIA (EX. NEAR EAST)","Import Quantity","Paper",414089
"870","ASIA (EX. NEAR EAST)","Export Quantity","Paper",165
"871","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",143362
"872","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",21
"873","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",243578
"874","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",121
"875","ASIA (EX. NEAR EAST)","Import Quantity","Paper",26727
"876","ASIA (EX. NEAR EAST)","Export Quantity","Paper",7
"877","ASIA (EX. NEAR EAST)","Import Quantity","Paper",422
"878","ASIA (EX. NEAR EAST)","Export Quantity","Paper",16
"880","ASIA (EX. NEAR EAST)","Import Quantity","Paper",51533
"881","ASIA (EX. NEAR EAST)","Export Quantity","Paper",4
"883","LATIN AMER. & CARIB","Production","Wood fuel",4812
"884","LATIN AMER. & CARIB","Import Quantity","Wood fuel",5
"885","LATIN AMER. & CARIB","Export Quantity","Wood fuel",50
"886","LATIN AMER. & CARIB","Import Quantity","Roundwood",3135
"887","LATIN AMER. & CARIB","Import Quantity","Roundwood",17
"889","LATIN AMER. & CARIB","Import Quantity","Roundwood",96
"890","LATIN AMER. & CARIB","Export Quantity","Roundwood",1
"891","LATIN AMER. & CARIB","Production","Sawlogs and veneer logs",5000
"892","LATIN AMER. & CARIB","Production","Roundwood",1000
"893","LATIN AMER. & CARIB","Production","Wood fuel",294
"894","LATIN AMER. & CARIB","Import Quantity","Wood fuel",23
"895","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",62
"896","LATIN AMER. & CARIB","Import Quantity","Wood residues",89
"897","LATIN AMER. & CARIB","Export Quantity","Wood residues",5
"898","LATIN AMER. & CARIB","Import Quantity","Sawnwood",3567
"899","LATIN AMER. & CARIB","Export Quantity","Sawnwood",3
"900","LATIN AMER. & CARIB","Import Quantity","Sawnwood",1950
"901","LATIN AMER. & CARIB","Export Quantity","Sawnwood",6
"902","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",16
"903","LATIN AMER. & CARIB","Export Quantity","Veneer sheets",2
"904","LATIN AMER. & CARIB","Import Quantity","Plywood",6212
"905","LATIN AMER. & CARIB","Export Quantity","Plywood",14
"906","LATIN AMER. & CARIB","Import Quantity","Particle board",4
"907","LATIN AMER. & CARIB","Export Quantity","Particle board",2
"908","LATIN AMER. & CARIB","Import Quantity","OSB",43
"909","LATIN AMER. & CARIB","Import Quantity","Hardboard",127
"910","LATIN AMER. & CARIB","Export Quantity","Hardboard",1
"911","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",186
"912","LATIN AMER. & CARIB","Export Quantity","MDF/HDF",343
"913","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",350
"914","LATIN AMER. & CARIB","Export Quantity","Other fibreboard",4
"918","LATIN AMER. & CARIB","Import Quantity","Wood pulp",27
"919","LATIN AMER. & CARIB","Export Quantity","Wood pulp",23
"920","LATIN AMER. & CARIB","Import Quantity","Wood pulp",8
"921","LATIN AMER. & CARIB","Export Quantity","Wood pulp",10
"922","LATIN AMER. & CARIB","Import Quantity","Wood pulp",1
"924","LATIN AMER. & CARIB","Import Quantity","Wood pulp",16
"925","LATIN AMER. & CARIB","Import Quantity","Wood pulp",2
"926","LATIN AMER. & CARIB","Export Quantity","Wood pulp",13
"927","LATIN AMER. & CARIB","Import Quantity","Pulp from fibres other than wood",26
"928","LATIN AMER. & CARIB","Export Quantity","Pulp from fibres other than wood",21
"929","LATIN AMER. & CARIB","Import Quantity","Paper",23
"930","LATIN AMER. & CARIB","Export Quantity","Paper",3096
"931","LATIN AMER. & CARIB","Import Quantity","Newsprint",3195
"932","LATIN AMER. & CARIB","Export Quantity","Newsprint",110
"933","LATIN AMER. & CARIB","Import Quantity","Paper",2924
"934","LATIN AMER. & CARIB","Export Quantity","Paper",39
"935","LATIN AMER. & CARIB","Import Quantity","Paper",1192
"936","LATIN AMER. & CARIB","Export Quantity","Paper",6
"937","LATIN AMER. & CARIB","Import Quantity","Paper",1208
"938","LATIN AMER. & CARIB","Export Quantity","Paper",31
"939","LATIN AMER. & CARIB","Import Quantity","Paper",524
"940","LATIN AMER. & CARIB","Export Quantity","Paper",2
"941","LATIN AMER. & CARIB","Production","Paper",2000
"942","LATIN AMER. & CARIB","Import Quantity","Paper",2607
"943","LATIN AMER. & CARIB","Export Quantity","Paper",385
"944","LATIN AMER. & CARIB","Import Quantity","Paper",640
"945","LATIN AMER. & CARIB","Export Quantity","Paper",2
"946","LATIN AMER. & CARIB","Production","Paper",1000
"947","LATIN AMER. & CARIB","Import Quantity","Paper",920
"948","LATIN AMER. & CARIB","Export Quantity","Paper",381
"949","LATIN AMER. & CARIB","Import Quantity","Case materials",8
